Business Name,Address,Booking URL,Google Maps Link
Paradigm Healing,5201 Carlson Park dr.#5 Arcata CA 95519,https://ee-system.com/paradigm-healing-2639,"https://www.google.com/maps/place/Paradigm+Healing/@46.423669,156.2291664,3z/data=!4m10!1m2!2m1!1sparadigm+healing+maps+google!3m6!1s0x87cf6f359ee4e6a5:0xc40cb1c45d8e00d8!8m2!3d46.423669!4d-129.9427086!15sChxwYXJhZGlnbSBoZWFsaW5nIG1hcHMgZ29vZ2xlIgOIAQGSARFoZWFsdGhfY29uc3VsdGFudKoBXgoNL2cvMTFxMjRsZjZ2bRABKhQiEHBhcmFkaWdtIGhlYWxpbmcoADIfEAEiGwS5Wcp1HTcIkfVoeKRSKvs1Q35ANyN7FF6wPjIUEAIiEHBhcmFkaWdtIGhlYWxpbmfgAQA!16s%2Fg%2F11q24lf6vm?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Freedom Health,3105 Lombard Ave  Everett Wa 98201,https://ee-system.com/freedom-health-1090,"https://www.google.com/maps/place/Freedom+Health+Club/@47.976266,-122.2071717,17z/data=!3m1!4b1!4m6!3m5!1s0x549aab006bf6babb:0x8cf7ebef08b2034f!8m2!3d47.9762625!4d-122.2025583!16s%2Fg%2F11mdmk8wq8?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Cloud-9 Wellness,"92 Bridge st Dedham, MA 02026",https://ee-system.com/cloud-9-wellness,"https://www.google.com/maps/place/Cloud+9+Wellness/@42.3548509,-122.8680602,17z/data=!3m1!4b1!4m6!3m5!1s0x54cf7ba41564871b:0xc138165fa3558833!8m2!3d42.3548509!4d-122.8680602!16s%2Fg%2F11dzsc3yd7?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Enhancing Energy Collective,10159 Caryks Road,"https://ee-system.com/enhancing-energy-collective-7669","https://www.google.com/maps/place/Eesystem+-+Enhancing+Energy+Collective/@49.1120624,-121.9100918,17z/data=!3m1!4b1!4m6!3m5!1s0x5484418269579b61:0x780d0332ef12a5c3!8m2!3d49.1120624!4d-121.9100918!16s%2Fg%2F11txpqg36g?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Amplified Healing Lounge,"Sardinera Office Center PR-693 Suite 1 Dorado, PR",https://ee-system.com/amplified-healing-lounge-9615,"https://www.google.com/maps/place/Amplified+Healing+Lounge/@18.466325,-66.2793881,17z/data=!3m1!4b1!4m6!3m5!1s0x8c0349c8c0411e99:0x8afc02262366b99e!8m2!3d18.466325!4d-66.2793881!16s%2Fg%2F11y5rt2bl5?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
EES Harmonija telesa in srca d.o.o.,Šlandrova ulica 8d,"https://ee-system.com/ees-harmonija-telesa-in-srca-3458","https://www.google.com/maps/place/Harmonija+telesa/@46.150741,14.2491255,9z/data=!4m10!1m2!2m1!1sees+harmonija+telesa+in+srca+d.o.o.+%C5%A1landrova+ulica+8d+map!3m6!1s0x476570ee60f1448d:0xbf0efbbf71244e8a!8m2!3d46.238361!4d15.2756301!15sCjtlZXMgaGFybW9uaWphIHRlbGVzYSBpbiBzcmNhIGQuby5vLiDFoWxhbmRyb3ZhIHVsaWNhIDhkIG1hcOABAA!16s%2Fg%2F11h_6pxw6s?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
EE Wellness Within,18 Wattle Avenue Mildura Vic Australia 3500,https://ee-system.com/ee-wellness-within-4175,"https://www.google.com/maps/place/EE+Wellness+Within/@-34.190345,142.1522259,17z/data=!3m1!4b1!4m6!3m5!1s0x6ac303003895818f:0x281af9e04acd781a!8m2!3d-34.190345!4d142.1522259!16s%2Fg%2F11xckwpcm2?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Cornerstone Wellness Center,220 West Broadway Ave,https://ee-system.com/cornerstone-wellness-center-2556,"https://www.google.com/maps/place/Cornerstone+Wellness+Center/@33.3790366,-111.6807154,17z/data=!3m1!4b1!4m6!3m5!1s0x872bae2f9ad79d6d:0x74671df901a4267f!8m2!3d33.3790366!4d-111.6781405!16s%2Fg%2F1tdn944n?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Organique Wellness Center,2000 Wisconsin Avenue Unit N1A Racine WI 53403,https://ee-system.com/organique-wellness-center-3244,https://www.mapquest.com/us/wisconsin/organique-wellness-center-776337098
ReZENergize Sanctuary,"1102 E 80th St. Indianapolis, IN 46240",https://ee-system.com/rezenergize-sanctuary-8799,"https://www.google.com/maps/place/ReZENergize+Sanctuary/@39.7793182,-86.4623946,10z/data=!3m1!4b1!4m6!3m5!1s0x640fdc2213937215:0x1a0832ab19724b44!8m2!3d39.7797845!4d-86.13275!16s%2Fg%2F11khzg62s_?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
IQuantum Wellness Sanctuary,11/20-22 Ranelagh Drive,https://ee-system.com/iquantum-wellness-sanctuary-2321,"https://www.google.com/maps/place/IQuantum+Wellness+Sanctuary/@-38.1843669,145.088086,17z/data=!3m1!4b1!4m6!3m5!1s0x6ad5df12f8c32bed:0x67b7ea54b9b9260b!8m2!3d-38.1843669!4d145.088086!16s%2Fg%2F11y3wxj798?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Divinity Wellness,"3465 Rebecca Street, Unit - 103",https://ee-system.com/divinity-wellness-8495,"https://www.google.com/maps/place/Divinity+Wellness/@43.3838993,-79.7386766,17z/data=!3m1!4b1!4m6!3m5!1s0x882b5f54d75479bd:0xcaa4515b343de862!8m2!3d43.3838954!4d-79.7361017!16s%2Fg%2F11w1cbvfy0?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
Energy Enhancement Experience,"190 E Spring Valley Pike, Centerville OH  45458",https://ee-system.com/energy-enhancement-experience,"https://www.google.com/maps/place/Energy+Enhancement+Experience/@39.612151,-84.1603913,17z/data=!3m1!4b1!4m6!3m5!1s0x88408f5cf694cd83:0xd32f1bd0ddf0cb56!8m2!3d39.612151!4d-84.1578164!16s%2Fg%2F11svnl4b3r?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
"Scalar Wave Therapy, LLC","2741 South US Highway 35, ,Logansport, IN 46947",https://ee-system.com/scalar-wave-therapy-llc-7102,"https://www.google.com/maps/place/Scalar+Wave+Therapy,+LLC/@40.7299392,-86.2938107,17z/data=!3m1!4b1!4m6!3m5!1s0x88138728cd1f2507:0x1305bb6c4652d1b6!8m2!3d40.7299392!4d-86.2938107!16s%2Fg%2F11l5vrxdvj?entry=ttu&g_ep=EgoyMDI1MDgxOS4wIKXMDSoASAFQAw%3D%3D"
